,Unternehmen,Website,offene Stellen Link,# offene Stellen,gescraped?,Datum
1,Migros,https://www.migros.ch,https://jobs.migros.ch/de/unsere-unternehmen/migros-gruppe/offene-stellen,1264,Ja,06/09/2025
2,Coop,https://www.coop.ch,https://jobs.coopjobs.ch/,2870,Ja,06/09/2025
3,Kanton Zürich,https://www.zh.ch,https://live.solique.ch/KTZH/de/#/,189,Ja,06/09/2025
4,SBB,https://www.sbb.ch,https://company.sbb.ch/de/jobs-karriere/jobs/offene-stellen.html,230,Ja,06/09/2025
5,Bundesverwaltung,https://www.admin.ch,https://www.stelle.admin.ch/stelle/de/home/stellen/stellenangebot.html,279,Ja,06/09/2025
6,Schweizer Post,https://www.post.ch,https://www.post.ch/de/jobs/offene-stellen?jobsCategory=professionals&workload-maximum=1&workload-minimum=0,150,Ja,06/09/2025
7,Kanton Bern,https://www.be.ch,https://www.jobs.sites.be.ch/de/start/jobs/jobs-fuer-berufserfahrene-berufseinsteigende-und-studierende.html,220,Ja,06/09/2025
8,Swisscom,https://www.swisscom.ch,https://swisscom.wd103.myworkdayjobs.com/de-DE/SwisscomExternalCareers,84,Nein,06/09/2025
9,ETH Zürich,https://ethz.ch,https://jobs.ethz.ch/,86,Ja,06/09/2025
10,Kanton Genf,https://ge.ch,https://www.ge.ch/offres-emploi-etat-geneve/liste-offres,95,Nein,06/09/2025
11,Swatch,https://www.swatch.com,https://www.swatchgroup.com/en/job-finder?jf_country=40&domain=All&position=All&contract=All&time=All,135,Nein,06/09/2025
12,Kanton St.Gallen,https://www.sg.ch,https://www.sg.ch/ueber-den-kanton-st-gallen/arbeitgeber-kanton-stgallen/stellenportal.html,70,Nein,06/09/2025
13,Roche,https://www.roche.com,https://careers.roche.com/de/de/search-results,160,Nein,06/09/2025
14,Raiffeisen,https://raiffeisen.ch,https://jobs.raiffeisen.ch/,161,Nein,06/09/2025
