Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
1,Glencore International,Baar,ZG,Welt-/Rohstoffhandel,133'513,142.429
2,Vitol,Genf,GE,Mineralölhandel,131'320,140.090
3,Cargill International,Genf,GE,Welt-/Rohstoffhandel,107'870,115.074
4,Mercuria Energy Trading,Genf,GE,Welt-/Rohstoffhandel,86'600,92.383
5,Nestlé,Vevey,VD,Nahrungsmittel,84'343,89.975
6,Roche Holding,Basel,BS,Chemie/Pharma,58'323,62.218
7,Gunvor,Genf,GE,Mineralölhandel,46'900,50.032
8,Novartis,Basel,BS,Chemie/Pharma,45'642,48.690
9,BHP Billiton Group,Baar,ZG,Welt-/Rohstoffhandel,40'269,42.958
10,Coop-Gruppe,Basel,BS,Mischkonzern,30'173,32.188
11,Migros-Genossenschafts-Bund,Zürich,ZH,Mischkonzern,29'822,31.814
12,Debiopharm International,Lausanne,VD,Chemie/Pharma,25'000,26.670
13,Mediterranean Shipping Company,Genf,GE,Logistik/Spedition,25'000,26.670
14,ABB,Zürich,ZH,Maschinenindustrie,24'514,26.151
15,LafargeHolcim,Zug,ZG,Bauzulieferer/Bauelemente,23'142,24.687
16,Socar Energy Trading,Genf,GE,Mineralölhandel,22'000,23.469
17,Adecco,Glattbrugg,ZH,Temporärarbeit,20'930,22.328
18,Kühne + Nagel International,Schindellegi,SZ,Logistik/Spedition,20'382,21.743
19,Varo Energy Holding,Cham,ZG,Mineralölhandel,14'338,15.295
20,Tetra Pak International,Pully,VD,Mischkonzern,14'065,15.004
21,Richemont,Bellevue,GE,Mischkonzern,14'064,15.003
22,Syngenta,Basel,BS,Chemie/Pharma,13'401,14.296
23,Also Holding,Emmen,LU,Computer/Informatik,12'731,13.581
24,Ineos Holdings,Rolle,VD,Chemie/Pharma,12'095,12.903
25,MET Group,Zug,ZG,Welt-/Rohstoffhandel,11'924,12.720
26,Emil Frey,Zürich,ZH,Automobilhandel/-import,11'500,12.268
27,Kolmar Group,Zug,ZG,Mineralölhandel,11'500,12.268
28,Swisscom,Worblaufen,BE,Telecom,11'100,11.841
29,Liebherr International,Bulle,FR,Maschinenindustrie,11'065,11.804
30,DKSH Holding,Zürich,ZH,Mischkonzern,10'742,11.459
31,Schindler Holding,Hergiswil NW,NW,Maschinenindustrie,10'640,11.351
32,SBB,Bern,BE,Bahnen/Öffentlicher Verkehr,9'216,9.831
33,DXT Commodities,Lugano,TI,Energieversorgung/-verteilung,9'186,9.799
34,CSL Behring,Bern,BE,Gesundheitswesen,8'630,9.206
35,Transgourmet Holding,Basel,BS,Grosshandel (Food),8'109,8.651
36,SoftwareONE,Stans,NW,Computer/Informatik,7'906,8.434
37,Sika,Baar,ZG,Bauzulieferer/Bauelemente,7'878,8.404
38,Die Schweizerische Post,Bern,BE,Dienstleistungen,7'054,7.525
39,Fenaco,Bern,BE,Mischkonzern,6'981,7.447
40,Ceva Logistics,Baar,ZG,Logistik/Spedition,6'956,7.421
41,Barry Callebaut,Zürich,ZH,Schokoladeindustrie,6'893,7.353
42,Ameropa Holding,Binningen,BL,Welt-/Rohstoffhandel,6'400,6.827
43,Alcon,Genf,GE,Medizinaltechnik,6'344,6.768
44,Givaudan,Vernier,GE,Chemie/Pharma,6'322,6.744
45,EuroChem,Zug,ZG,Bergbau/Erdgas/Dünger,5'784,6.170
46,SGS,Genf,GE,Dienstleistungen,5'604,5.978
47,The Swatch Group,Neuenburg,NE,Uhrenindustrie,5'595,5.969
48,Hilti,Schaan,,Befestigungstechnik,5'332,5.688
